stride,offset,query_index,sequence_id,sample_id,appearances
1,0,530,seq0002,seq0002_g000130,8
1,0,531,seq0002,seq0002_g000131,8
1,0,532,seq0002,seq0002_g000132,8
1,0,533,seq0002,seq0002_g000133,8
1,0,534,seq0002,seq0002_g000134,8
1,0,535,seq0002,seq0002_g000135,8
1,0,536,seq0002,seq0002_g000136,8
1,0,537,seq0002,seq0002_g000137,8
1,0,538,seq0002,seq0002_g000138,8
1,0,539,seq0002,seq0002_g000139,8
1,0,540,seq0002,seq0002_g000140,8
1,0,541,seq0002,seq0002_g000141,8
1,0,542,seq0002,seq0002_g000142,8
1,0,543,seq0002,seq0002_g000143,8
1,0,544,seq0002,seq0002_g000144,8
1,0,545,seq0002,seq0002_g000145,8
1,0,546,seq0002,seq0002_g000146,8
1,0,547,seq0002,seq0002_g000147,8
1,0,548,seq0002,seq0002_g000148,8
1,0,549,seq0002,seq0002_g000149,8
1,0,550,seq0002,seq0002_g000150,8
1,0,551,seq0002,seq0002_g000151,8
1,0,552,seq0002,seq0002_g000152,8
1,0,553,seq0002,seq0002_g000153,8
1,0,554,seq0002,seq0002_g000154,8
1,0,555,seq0002,seq0002_g000155,8
1,0,556,seq0002,seq0002_g000156,8
1,0,557,seq0002,seq0002_g000157,8
1,0,558,seq0002,seq0002_g000158,8
1,0,559,seq0002,seq0002_g000159,8
1,0,560,seq0002,seq0002_g000160,8
1,0,561,seq0002,seq0002_g000161,8
1,0,562,seq0002,seq0002_g000162,8
1,0,563,seq0002,seq0002_g000163,8
1,0,564,seq0002,seq0002_g000164,8
1,0,565,seq0002,seq0002_g000165,8
1,0,566,seq0002,seq0002_g000166,8
1,0,567,seq0002,seq0002_g000167,8
1,0,568,seq0002,seq0002_g000168,8
1,0,569,seq0002,seq0002_g000169,8
1,0,570,seq0002,seq0002_g000170,8
1,0,571,seq0002,seq0002_g000171,8
1,0,572,seq0002,seq0002_g000172,8
1,0,573,seq0002,seq0002_g000173,8
1,0,574,seq0002,seq0002_g000174,8
1,0,575,seq0002,seq0002_g000175,8
1,0,576,seq0002,seq0002_g000176,8
1,0,577,seq0002,seq0002_g000177,8
1,0,578,seq0002,seq0002_g000178,8
1,0,579,seq0002,seq0002_g000179,8
1,0,580,seq0002,seq0002_g000180,8
1,0,581,seq0002,seq0002_g000181,8
1,0,582,seq0002,seq0002_g000182,8
1,0,583,seq0002,seq0002_g000183,8
1,0,584,seq0002,seq0002_g000184,8
1,0,585,seq0002,seq0002_g000185,8
1,0,586,seq0002,seq0002_g000186,8
1,0,587,seq0002,seq0002_g000187,8
1,0,588,seq0002,seq0002_g000188,8
1,0,589,seq0002,seq0002_g000189,8
1,0,590,seq0002,seq0002_g000190,8
1,0,591,seq0002,seq0002_g000191,8
1,0,592,seq0002,seq0002_g000192,8
1,0,593,seq0002,seq0002_g000193,8
